,,,,,,,,,
,,,,,,,,,
0,HeartTeleport,312,308,,,,,,
0,CombatZoneResizeInstant,239,225,404,391,0,,,
0,HeartMode,1,,,,,,,
0,HeartMaxFallSpeed,500,,,,,,,
0,SET,Roue,12,,,,,,
0,JMPZ,53,$Roue,,,,,,
0,SUB,Roue,$Roue,1,,,,,
0,RND,Stab,4,,,,,,
,,,,,,,,,
0,JMPNE,16,$Stab,0,,,,,
0,SansBody,HandRight,,,,,,,
0,SansSlam,0,,,,,,,
0.25,BoneStab,0,35,0.25,0.25,,,,
0,JMPNE,20,$Stab,1,,,,,
0,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0.25,BoneStab,1,35,0.25,0.25,,,,
0,JMPNE,24,$Stab,2,,,,,
0,SansBody,HandLeft,,,,,,,
0,SansSlam,2,,,,,,,
0.25,BoneStab,2,35,0.25,0.25,,,,
0,JMPNE,28,$Stab,3,,,,,
0,SansBody,HandUp,,,,,,,
0,SansSlam,3,,,,,,,
0.25,BoneStab,3,35,0.25,0.25,,,,
,,,,,,,,,
0,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,43,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,45,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,47,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,49,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,3,$X,$Y,$EndX,$EndY,$Ang,0.90,0
,,,,,,,,,
0.69,JMPABS,8,,,,,,,
,,,,,,,,,
0,EndAttack,,,,,,,,
