,,,,,,,,
,,,,,,,,
0,HeartTeleport,300,250,,,,,
0,CombatZoneResizeInstant,239,225,404,391,0,,
0,HeartMode,0,,,,,,
0,HeartMaxFallSpeed,900,,,,,,
0,SET,Roue,4,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
0,RND,Stab,6,,,,,
0,JMPZ,157,$Roue,,,,,
0,SUB,Roue,$Roue,1,,,,
0,BlackScreen,1,,,,,,
1,BlackScreen,0,,,,,,
0,SansHead,Default,,,,,,
,,,,,,,,
0,JMPNE,29,$Stab,0,,,,
0,HeartMode,1,,,,,,
0,HeartTeleport,120,300,,,,,
0,CombatZoneResizeInstant,100,225,520,379,,,
0,PlatformRepeat,0,325,55,0,295,6,165
0,BoneVRepeat,529,355,135,2,355,555,10
0,BoneVRepeat,91,355,135,0,355,555,10
0,BoneStab,0,184,0,50,,,
4.3,SansHead,NoEyes,,,,,,
,,,,,,,,
,,,,,,,,
0,JMPNE,40,$Stab,1,,,,
0,HeartMode,1,,,,,,
0,HeartTeleport,310,359,,,,,
0,CombatZoneResizeInstant,219,225,419,379,,,
0,BoneVRepeat,100,344,35,0,155,5,200
0,BoneVRepeat,529,344,35,2,155,5,200
0.55,BoneVRepeat,529,200,155,2,155,5,200
0,BoneVRepeat,100,200,155,0,155,5,200
5,SansHead,NoEyes,,,,,,
,,,,,,,,
0,JMPNE,54,$Stab,2,,,,
0,HeartMode,1,,,,,,
0,HeartTeleport,299,164,,,,,
0,CombatZoneResizeInstant,285,150,335,350,,,
0,Platform,285,180,25,0,0,0,
0,Platform,309,210,25,0,0,0,
0,Platform,285,240,25,0,0,0,
0,Platform,309,270,25,0,0,0,
0,Platform,285,300,25,0,0,0,
0,Platform,309,330,25,0,0,0,
0,HeartMaxFallSpeed,900,,,,,,
0,BoneStab,3,178,2.2,1,,,
3,SansHead,NoEyes,,,,,,
,,,,,,,,
0,JMPNE,72,$Stab,3,,,,
0,HeartMode,1,,,,,,
0,HeartTeleport,310,359,,,,,
0,CombatZoneResizeInstant,219,225,419,379,,,
0,BoneV,100,344,45,0,155,0,
0.6,BoneV,100,280,100,0,165,1,
0.3,BoneStab,3,100,0.4,0,,,
0.7,BoneV,100,344,45,0,155,0,
0.6,BoneV,100,280,100,0,165,1,
0.3,BoneStab,3,100,0.4,0,,,
1,BoneV,500,344,45,2,155,0,
0.6,BoneV,500,280,100,2,165,1,
0.3,BoneStab,3,100,0.4,0,,,
0.7,BoneV,500,344,45,2,155,0,
0.6,BoneV,500,280,100,2,165,1,
0.3,BoneStab,3,100,0.4,0,,,
1,SansHead,NoEyes,,,,,,
,,,,,,,,
0,JMPNE,87,$Stab,4,,,,
0,HeartMode,1,,,,,,
0,HeartTeleport,310,359,,,,,
0,CombatZoneResizeInstant,219,225,419,379,,,
0,BoneV,100,344,45,0,155,0,
0.6,BoneV,100,280,100,0,165,1,
0.3,BoneStab,3,90,0.4,10,,,
0.7,BoneV,100,344,45,0,155,0,
0.6,BoneV,100,280,100,0,165,1,
1,BoneV,500,344,45,2,155,0,
0.6,BoneV,500,280,100,2,165,1,
0.7,BoneV,500,344,45,2,155,0,
0.6,BoneV,500,280,100,2,165,1,
2,SansHead,NoEyes,,,,,,
,,,,,,,,
0,JMPNE,98,$Stab,5,,,,
0,CombatZoneResizeInstant,133,251,508,391,0,,
0,HeartTeleport,321,376,,,,,
0,HeartMode,1,,,,,,
0,HeartMaxFallSpeed,450,,,,,,
0,BoneVRepeat,128,257,95,0,235,6,133
0,BoneVRepeat,128,366,20,0,235,6,133
0,BoneVRepeat,503,257,95,2,235,6,133
0,BoneVRepeat,503,366,20,2,235,6,133
3.4,SansHead,NoEyes,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
0,JMPABS,12,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
0,EndAttack,,,,,,,
