,,,,,,,,,
,,,,,,,,,
0,HeartTeleport,300,250,,,,,,
0,CombatZoneResizeInstant,239,225,404,391,0,,,
0,HeartMode,0,,,,,,,
0,HeartMaxFallSpeed,900,,,,,,,
0,SET,Roue,4,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,RND,Stab,6,,,,,,
0,JMPZ,157,$Roue,,,,,,
0,SUB,Roue,$Roue,1,,,,,
0,BlackScreen,1,,,,,,,
1,BlackScreen,0,,,,,,,
0,SansHead,Default,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,JMPNE,34,$Stab,0,,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,120,300,,,,,,
0,CombatZoneResizeInstant,100,225,520,379,,,,
0,PlatformRepeat,0,325,55,0,300,5,165,
0,BoneVRepeat,529,355,135,2,355,555,10,
0,BoneVRepeat,91,355,135,0,355,555,10,
0,BoneStab,0,184,0,50,,,,
4.3,SansHead,NoEyes,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,JMPNE,52,$Stab,1,,,,,
0,CombatZoneResizeInstant,133,251,508,391,0,,,
0,HeartTeleport,321,376,,,,,,
0,HeartMode,1,,,,,,,
0,HeartMaxFallSpeed,450,,,,,,,
0,SansBody,HandUp,,,,,,,
0,SansSlam,3,,,,,,,
0,BoneVRepeat,128,257,20,0,200,6,122,
0,BoneVRepeat,128,295,95,0,200,6,122,
0,BoneVRepeat,503,257,20,2,199,6,122,
0,BoneVRepeat,503,295,95,2,199,6,122,
4.3,SansHead,NoEyes,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,SansAnimation,Idle,,,,,,,
,,,,,,,,,
0,JMPNE,66,$Stab,2,,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,299,164,,,,,,
0,CombatZoneResizeInstant,285,150,335,350,,,,
0,Platform,285,180,25,0,0,0,,
0,Platform,309,210,25,0,0,0,,
0,Platform,285,240,25,0,0,0,,
0,Platform,309,270,25,0,0,0,,
0,Platform,285,300,25,0,0,0,,
0,Platform,309,330,25,0,0,0,,
0,HeartMaxFallSpeed,900,,,,,,,
0,BoneStab,3,178,2.2,1,,,,
3,SansHead,NoEyes,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,JMPNE,95,$Stab,3,,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,310,359,,,,,,
0,CombatZoneResizeInstant,219,225,419,379,,,,
0,BoneV,100,344,45,0,155,0,,
0.6,BoneV,100,280,100,0,165,1,,
0.3,BoneStab,3,100,0.4,0,,,,
0.7,BoneV,100,344,45,0,155,0,,
0.6,BoneV,100,280,100,0,165,1,,
0.3,BoneStab,3,100,0.4,0,,,,
1,BoneV,500,344,45,2,155,0,,
0.6,BoneV,500,280,100,2,165,1,,
0.3,BoneStab,3,100,0.4,0,,,,
0.7,BoneV,500,344,45,2,155,0,,
0.6,BoneV,500,280,100,2,165,1,,
0.3,BoneStab,3,100,0.4,0,,,,
1.5,SansHead,NoEyes,,,,,,,
,,,,,,,,,
0,JMPNE,134,$Stab,4,,,,,
0,HeartTeleport,322,333,,,,,,
0,CombatZoneResizeInstant,239,225,404,391,0,,,
0,HeartMode,0,,,,,,,
0,HeartMaxFallSpeed,330,,,,,,,
0.05,SET,gt,0,,,,,,
0,SET,gt2,-15,,,,,,
0,SET,gin,1.150,,,,,,
0,MUL,Ang,$gt,-10,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,150,,,,,
0,MUL,EndY,$Y,150,,,,,
0,MUL,X,$EndX,3,,,,,
0,MUL,Y,$EndY,3,,,,,
0,ADD,X,$X,320,,,,,
0,ADD,Y,$Y,306,,,,,
0,ADD,EndX,$EndX,320,,,,,
0,ADD,EndY,$EndY,306,,,,,
0,ADD,Ang,$Ang,180,,,,,
0,MUL,Ang2,$gt2,-10,,,,,
0,COS,X2,$Ang2,,,,,,
0,SIN,Y2,$Ang2,,,,,,
0,MUL,EndX2,$X2,150,,,,,
0,MUL,EndY2,$Y2,150,,,,,
0,MUL,X2,$EndX2,3,,,,,
0,MUL,Y2,$EndY2,3,,,,,
0,ADD,X2,$X2,320,,,,,
0,ADD,Y2,$Y2,306,,,,,
0,ADD,EndX2,$EndX2,320,,,,,
0,ADD,EndY2,$EndY2,306,,,,,
0,ADD,Ang2,$Ang2,180,,,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,2,0
0,GasterBlaster,0,$X2,$Y2,$EndX2,$EndY2,$Ang2,2,0
0,ADD,gt,$gt,$gin,,,,,
0,ADD,gt2,$gt2,$gin,,,,,
0.05,JMPL,104,$gt,20,,,,,
3.6,SansHead,NoEyes,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,JMPNE,147,$Stab,5,,,,,
0,CombatZoneResizeInstant,133,251,508,391,0,,,
0,HeartTeleport,321,376,,,,,,
0,HeartMode,1,,,,,,,
0,HeartMaxFallSpeed,450,,,,,,,
0,BoneVRepeat,128,257,95,0,235,6,133,
0,BoneVRepeat,128,366,20,0,235,6,133,
0,BoneVRepeat,503,257,95,2,235,6,133,
0,BoneVRepeat,503,366,20,2,235,6,133,
3.4,SansHead,NoEyes,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,JMPABS,12,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,EndAttack,,,,,,,,
